Moving1.Position[deg],I_aa[A],FluxLinkage(A)[Wb]
53.7,38.3333333333333,0.123678
54.6,38.3333333333333,0.0991264
55.5,38.3333333333333,0.0871176
56.4,38.3333333333333,0.0804809
57.2999999999999,38.3333333333333,0.0760943
58.2,38.3333333333333,0.0734781
59.1000000000001,38.3333333333333,0.0720152
60.0000000000001,38.3333333333333,0.0714657
60.9000000000002,38.3333333333333,0.0720196
61.8000000000003,38.3333333333333,0.0734739
62.7000000000003,38.3333333333333,0.0761436
63.6000000000004,38.3333333333333,0.0804619
64.4999999999999,38.3333333333333,0.0870353
65.3999999999999,38.3333333333333,0.0992339
66.3,38.3333333333333,0.123273
67.2,38.3333333333333,0.165081
68.1000000000001,38.3333333333333,0.207566
69.0000000000001,38.3333333333333,0.244528
69.9000000000002,38.3333333333333,0.276142
70.8000000000003,38.3333333333333,0.303877
71.7000000000003,38.3333333333333,0.325495
72.6000000000004,38.3333333333333,0.343513
73.5000000000005,38.3333333333333,0.356654
74.3999999999999,38.3333333333333,0.365092
75.3,38.3333333333333,0.369441
76.2000000000001,38.3333333333333,0.36867
77.1000000000001,38.3333333333333,0.364514
78.0000000000002,38.3333333333333,0.355598
78.9000000000002,38.3333333333333,0.343688
79.8000000000003,38.3333333333333,0.328486
80.7000000000003,38.3333333333333,0.313452
81.6000000000004,38.3333333333333,0.303565
82.4999999999999,38.3333333333333,0.300741
-7.50000000000002,51.1111111111111,0.398796
-6.60000000000001,51.1111111111111,0.398603
-5.7,51.1111111111111,0.410309
-4.8,51.1111111111111,0.42995
-3.9,51.1111111111111,0.45091
-3,51.1111111111111,0.468413
-2.1,51.1111111111111,0.481752
-1.2,51.1111111111111,0.488397
-0.300000000000001,51.1111111111111,0.489122
0.600000000000001,51.1111111111111,0.482049
1.5,51.1111111111111,0.468213
2.4,51.1111111111111,0.446772
3.3,51.1111111111111,0.41964
4.2,51.1111111111111,0.387026
5.1,51.1111111111111,0.349032
6.00000000000001,51.1111111111111,0.30605
6.90000000000002,51.1111111111111,0.260361
7.80000000000002,51.1111111111111,0.213259
8.70000000000002,51.1111111111111,0.16501
9.60000000000002,51.1111111111111,0.132403
10.5,51.1111111111111,0.116262
11.4,51.1111111111111,0.107404
12.3,51.1111111111111,0.101589
13.2,51.1111111111111,0.0980533
14.1,51.1111111111111,0.0961176
15,51.1111111111111,0.0953698
15.9,51.1111111111111,0.0960702
16.8,51.1111111111111,0.0980579
17.7,51.1111111111111,0.101573
18.6,51.1111111111111,0.107391
19.5,51.1111111111111,0.116321
20.4,51.1111111111111,0.13228
21.3,51.1111111111111,0.164666
22.2,51.1111111111111,0.21362
23.1,51.1111111111111,0.260363
24,51.1111111111111,0.30567
24.9,51.1111111111111,0.348267
25.8,51.1111111111111,0.386633
26.7,51.1111111111111,0.419645
27.6,51.1111111111111,0.447041
28.5,51.1111111111111,0.467963
29.4,51.1111111111111,0.482067
30.3,51.1111111111111,0.489277
31.2,51.1111111111111,0.488395
32.1,51.1111111111111,0.481689
33,51.1111111111111,0.468343
33.9,51.1111111111111,0.450671
34.8,51.1111111111111,0.429382
35.7,51.1111111111111,0.410071
36.6,51.1111111111111,0.398641
37.5,51.1111111111111,0.398836
38.4,51.1111111111111,0.399428
39.3,51.1111111111111,0.410257
40.2,51.1111111111111,0.429941
41.1,51.1111111111111,0.450903
42,51.1111111111111,0.468497
42.9,51.1111111111111,0.481644
43.8,51.1111111111111,0.488356
44.7,51.1111111111111,0.489109
45.6,51.1111111111111,0.482042
46.5,51.1111111111111,0.468006
47.4,51.1111111111111,0.446991
48.3,51.1111111111111,0.419833
49.2000000000001,51.1111111111111,0.386883
50.1000000000001,51.1111111111111,0.349012
51.0000000000001,51.1111111111111,0.306218
51.9,51.1111111111111,0.260354
52.8,51.1111111111111,0.213402
53.7,51.1111111111111,0.164892
54.6,51.1111111111111,0.132329
55.5,51.1111111111111,0.116283
56.4,51.1111111111111,0.107414
57.2999999999999,51.1111111111111,0.101552
58.2,51.1111111111111,0.0980574
59.1000000000001,51.1111111111111,0.0961036
60.0000000000001,51.1111111111111,0.0953698
60.9000000000002,51.1111111111111,0.0961094
61.8000000000003,51.1111111111111,0.0980517
62.7000000000003,51.1111111111111,0.101618
63.6000000000004,51.1111111111111,0.107388
64.4999999999999,51.1111111111111,0.116172
65.3999999999999,51.1111111111111,0.132467
66.3,51.1111111111111,0.16455
67.2,51.1111111111111,0.213416
68.1000000000001,51.1111111111111,0.260335
69.0000000000001,51.1111111111111,0.305426
69.9000000000002,51.1111111111111,0.348461
70.8000000000003,51.1111111111111,0.387419
71.7000000000003,51.1111111111111,0.419698
72.6000000000004,51.1111111111111,0.446927
73.5000000000005,51.1111111111111,0.468083
74.3999999999999,51.1111111111111,0.482088
75.3,51.1111111111111,0.489276
76.2000000000001,51.1111111111111,0.488375
77.1000000000001,51.1111111111111,0.481776
78.0000000000002,51.1111111111111,0.468211
78.9000000000002,51.1111111111111,0.450684
79.8000000000003,51.1111111111111,0.429386
80.7000000000003,51.1111111111111,0.41007
81.6000000000004,51.1111111111111,0.39875
82.4999999999999,51.1111111111111,0.398836
-7.50000000000002,63.8888888888889,0.48503
-6.60000000000001,63.8888888888889,0.4797
-5.7,63.8888888888889,0.488402
-4.8,63.8888888888889,0.509668
-3.9,63.8888888888889,0.536474
-3,63.8888888888889,0.56219
-2.1,63.8888888888889,0.581473
-1.2,63.8888888888889,0.591529
-0.300000000000001,63.8888888888889,0.590509
0.600000000000001,63.8888888888889,0.576943
1.5,63.8888888888889,0.553626
