"Time [ns]","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='0A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='12.7777777777778A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='25.5555555555556A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='38.3333333333333A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='51.1111111111111A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='63.8888888888889A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='76.6666666666667A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='89.4444444444445A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='102.222222222222A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='115A'"
3900000,51.0000000000001,0,51.0000000000001,0.0816238317484253,51.0000000000001,0.164532948372034,51.0000000000001,0.244829854020839,51.0000000000001,0.306217653780191,51.0000000000001,0.348337094431362,51.0000000000001,0.384710560329572,51.0000000000001,0.417815931659275,51.0000000000001,0.449206814457974,51.0000000000001,0.479673163460997
3960000,51.9,0,51.9,0.0692109332515632,51.9,0.13944325428466,51.9,0.207544994204532,51.9,0.260354040737615,51.9,0.300991310848815,51.9,0.337201447808704,51.9,0.370566246698925,51.9,0.402177320122831,51.9,0.432779108694929
4020000,52.8,0,52.8,0.0545878124834656,52.8,0.109917466429665,52.8,0.165057957890903,52.8,0.213402357699756,52.8,0.254351353093732,52.8,0.290174054257601,52.8,0.323829901180576,52.8,0.356356050400863,52.8,0.387598290283377
4080000,53.7,0,53.7,0.0408767748231485,53.7,0.0822039219817483,53.7,0.123677590867431,53.7,0.164892191438167,53.7,0.205588091937495,53.7,0.242272645519056,53.7,0.276605501089109,53.7,0.310082661124319,53.7,0.341702919439167
4140000,54.6,0,54.6,0.0328414342022236,54.6,0.0659444623500333,54.6,0.0991263686339749,54.6,0.132329480888357,54.6,0.165669301299164,54.6,0.198724886973397,54.6,0.231891082364458,54.6,0.264974378641103,54.6,0.297656108627568
4200000,55.5,0,55.5,0.0288963102200139,55.5,0.0579737660406068,55.5,0.0871175848133819,55.5,0.116282535777509,55.5,0.145455284954149,55.5,0.174629318860698,55.5,0.203804852224128,55.5,0.233006079583433,55.5,0.262253975649784
4260000.00000001,56.4,0,56.4,0.0267123154397919,56.4,0.053567371997776,56.4,0.0804808921006295,56.4,0.107414111114046,56.4,0.134355164473026,56.4,0.161299667910556,56.4,0.188244412991923,56.4,0.215187933438492,56.4,0.242128216762182
4320000.00000001,57.2999999999999,0,57.2999999999999,0.0252666214259476,57.2999999999999,0.0506527845340439,57.2999999999999,0.0760943187722591,57.2999999999999,0.101552311738305,57.2999999999999,0.127017712948544,57.2999999999999,0.152487166956293,57.2999999999999,0.177957914626698,57.2999999999999,0.203428021112143,57.2999999999999,0.228896299978908
4380000.00000001,58.2,0,58.2,0.0244036839463003,58.2,0.0489138404139183,58.2,0.073478145641933,58.2,0.0980573878667446,58.2,0.122643039898433,58.2,0.147232344812908,58.2,0.17182314118897,58.2,0.196413783639962,58.2,0.221003201656643
4440000.00000001,59.1000000000001,0,59.1000000000001,0.0239209046407406,59.1000000000001,0.0479412603708263,59.1000000000001,0.0720152259256936,59.1000000000001,0.0961035987161404,59.1000000000001,0.12019809716475,59.1000000000001,0.144295974466981,59.1000000000001,0.168395154443253,59.1000000000001,0.192494159668168,59.1000000000001,0.216592014382703
4500000.00000001,60.0000000000001,0,60.0000000000001,0.0237394660078161,60.0000000000001,0.0475758795471642,60.0000000000001,0.0714657093554733,60.0000000000001,0.0953698071034737,60.0000000000001,0.119279998923113,60.0000000000001,0.143193563801539,60.0000000000001,0.167108453429392,60.0000000000001,0.191023196531791,60.0000000000001,0.214936777029092
